Date,Adj Close,Simple,CC,,,,,,,,,,
1/2/2004,17.41,0.10399,0.098935353,1.098935353,,,,,,,,,
2/2/2004,17.78,0.02125,0.021029476,1.021029476,,,,,,,,,
3/1/2004,18.01,0.01294,0.012852929,1.012852929,,,,,,,,,
4/1/2004,18.5,0.02721,0.026843573,1.026843573,,,,,,,,,
5/3/2004,19.3,0.04324,0.042334364,1.042334364,,,,,,,,,
6/1/2004,20.68,0.07150,0.069061954,1.069061954,,,,,,,,,
7/1/2004,22.34,0.08027,0.077211744,1.077211744,,,,,,,,,
8/2/2004,20.56,-0.07968,-0.083031353,0.916968647,,,,,,,,,
9/1/2004,21.61,0.05107,0.04980873,1.04980873,,,,,,,,,
10/1/2004,25.14,0.16335,0.151304033,1.151304033,,,,,,,,,
11/1/2004,26.75,0.06404,0.06207427,1.06207427,,,,,,,,,
12/1/2004,29.65,0.10841,0.102927652,1.102927652,,,,,,,,,
1/3/2005,25.67,-0.13423,-0.144139131,0.855860869,,,,,,,,,
2/1/2005,24.63,-0.04051,-0.041357783,0.958642217,,,,,,,,,
3/1/2005,24.56,-0.00284,-0.002846109,0.997153891,,,,,,,,,
4/1/2005,23.54,-0.04153,-0.042418001,0.957581999,,,,,,,,,
5/2/2005,26.05,0.10663,0.101316666,1.101316666,,,,,,,,,
6/1/2005,24.56,-0.05720,-0.058898665,0.941101335,,,,,,,,,
7/1/2005,24.98,0.01710,0.016956401,1.016956401,,,,,,,,,
8/1/2005,23.31,-0.06685,-0.069193052,0.930806948,,,,,,,,,
9/1/2005,23.82,0.02188,0.021643111,1.021643111,,,,,,,,,
10/3/2005,26.89,0.12888,0.121228906,1.121228906,,,,,,,,,
11/1/2005,28.95,0.07661,0.073815734,1.073815734,,,,,,,,,
12/1/2005,28.54,-0.01416,-0.014263592,0.985736408,,,,,,,,,
1/3/2006,30.14,0.05606,0.054546581,1.054546581,,,,,,,,,
2/1/2006,34.54,0.14599,0.13626488,1.13626488,,,,,,,,,
3/1/2006,35.78,0.03590,0.035271005,1.035271005,,,,,,,,,
4/3/2006,35.44,-0.00950,-0.009547952,0.990452048,,,,,,,,,
5/1/2006,33.9,-0.04345,-0.044426111,0.955573889,,,,,,,,,
6/1/2006,35.91,0.05929,0.057600794,1.057600794,,,,,,,,,
7/3/2006,32.55,-0.09357,-0.09823844,0.90176156,,,,,,,,,
8/1/2006,29.49,-0.09401,-0.098726146,0.901273854,,,,,,,,,
9/1/2006,32.38,0.09800,0.093489725,1.093489725,,,,,,,,,
10/2/2006,35.9,0.10871,0.103196347,1.103196347,,,,,,,,,
11/1/2006,33.56,-0.06518,-0.067402414,0.932597586,,,,,,,,,
12/1/2006,33.68,0.00358,0.003569308,1.003569308,,,,,,,,,
1/3/2007,33.22,-0.01366,-0.013752085,0.986247915,,,,,,,,,
2/1/2007,29.38,-0.11559,-0.122837933,0.877162067,,,,,,,,,
3/1/2007,29.82,0.01498,0.014865139,1.014865139,,,,,,,,,
4/2/2007,29.5,-0.01073,-0.010789046,0.989210954,,,,,,,,,
5/1/2007,27.4,-0.07119,-0.07384725,0.92615275,,,,,,,,,
6/1/2007,24.95,-0.08942,-0.093669191,0.906330809,,,,,,,,,
7/2/2007,25.37,0.01683,0.016693551,1.016693551,,,,,,,,,
8/1/2007,26.2,0.03272,0.032192037,1.032192037,,,,,,,,,
9/4/2007,24.91,-0.04924,-0.050490081,0.949509919,,,,,,,,,
10/1/2007,25.37,0.01847,0.018298044,1.018298044,,,,,,,,,
11/1/2007,22.24,-0.12337,-0.131674904,0.868325096,,,,,,,,,
12/3/2007,19.46,-0.12500,-0.133531393,0.866468607,,,,,,,,,
1/2/2008,17.98,-0.07605,-0.079101048,0.920898952,,,,,,,,,
2/1/2008,17.1,-0.04894,-0.050181566,0.949818434,,,,,,,,,
3/3/2008,16.64,-0.02690,-0.027269028,0.972730972,,,,,,,,,
